Id,Model,Price,Age_08_04,KM,HP,cc,Doors,Cylinders,Gears,Weight
1,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,23,46986,90,2000,3,4,5,1165
2,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13750,23,72937,90,2000,3,4,5,1165
3,ÊTOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13950,24,41711,90,2000,3,4,5,1165
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14950,26,48000,90,2000,3,4,5,1165
5,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13750,30,38500,90,2000,3,4,5,1170
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,12950,32,61000,90,2000,3,4,5,1170
7,ÊTOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,16900,27,94612,90,2000,3,4,5,1245
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,30,75889,90,2000,3,4,5,1245
9,ÊTOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,27,19700,192,1800,3,4,5,1185
10,ÊTOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,12950,23,71138,69,1900,3,4,5,1105
11,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,25,31461,192,1800,3,4,6,1185
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,22,43610,192,1800,3,4,6,1185
13,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,25,32189,192,1800,3,4,6,1185
14,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,31,23000,192,1800,3,4,6,1185
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,32,34131,192,1800,3,4,6,1185
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,18739,192,1800,3,4,6,1185
17,ÊTOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,34000,192,1800,3,4,5,1185
18,ÊTOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,21716,110,1600,3,4,5,1105
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,24,25563,110,1600,3,4,5,1065
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,64359,110,1600,3,4,5,1105
21,ÊTOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,67660,110,1600,3,4,5,1105
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,43905,110,1600,3,4,5,1170
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,56349,110,1600,3,4,5,1120
24,ÊTOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,32220,110,1600,3,4,5,1120
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,25813,110,1600,3,4,5,1120
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,28450,110,1600,3,4,5,1120
27,ÊTOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,34545,110,1600,3,4,5,1120
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,41415,110,1600,3,4,5,1120
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,44142,110,1600,3,4,5,1120
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,11090,110,1600,3,4,5,1120
31,ÊTOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,9750,97,1400,3,4,5,1100
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,35199,97,1400,3,4,5,1100
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,29510,97,1400,3,4,5,1100
34,ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,32692,97,1400,3,4,5,1100
35,ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,41000,97,1400,3,4,5,1100
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,43000,97,1400,3,4,5,1100
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,25000,97,1400,3,4,5,1100
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,10000,97,1400,3,4,5,1100
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,25329,97,1400,3,4,5,1100
40,ÊTOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,27500,97,1400,3,4,5,1100
41,ÊTOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,49059,97,1400,3,4,5,1100
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,44068,97,1400,3,4,5,1100
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,46961,97,1400,3,4,5,1100
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,110404,90,2000,5,4,5,1255
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,100250,90,2000,5,4,5,1255
46,ÊTOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,84000,90,2000,5,4,5,1270
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,79375,90,2000,5,4,5,1255
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,75048,97,1400,5,4,5,1110
49,ÊTOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,72215,90,2000,5,4,5,1255
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,64982,192,1800,5,4,6,1195
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,62636,90,2000,5,4,5,1255
52,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,57086,97,1400,5,4,5,1110
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,56000,110,1600,5,4,5,1180
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,49866,192,1800,5,4,5,1195
55,ÊTOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,49163,110,1600,5,4,5,1165
56,ÊTOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,45725,110,1600,5,4,5,1075
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,43210,97,1400,5,4,5,1110
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,43000,97,1400,5,4,5,1110
59,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,39704,110,1600,5,4,5,1180
60,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,38950,110,1600,5,4,5,1130
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,37400,97,1400,5,4,5,1110
62,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,37177,110,1600,5,4,5,1130
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,36544,110,1600,5,4,5,1130
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,33511,110,1600,5,4,5,1130
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,32809,97,1400,5,4,5,1110
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,32181,110,1600,5,4,5,1075
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,30993,110,1600,5,4,5,1130
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,30400,97,1400,5,4,5,1110
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,30000,110,2000,5,4,5,1275
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,29719,97,1400,5,4,5,1110
71,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,29206,97,1400,5,4,5,1110
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,29198,97,1400,5,4,5,1060
73,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,28817,110,1598,5,4,5,1130
74,ÊTOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,28227,97,1400,5,4,5,1110
75,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,28000,110,1600,5,4,5,1130
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,28000,110,1600,5,4,5,1115
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,25266,110,1600,5,4,5,1130
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,23489,110,1600,5,4,5,1115
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,22575,110,1600,5,4,5,1115
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,22000,97,1400,5,4,5,1110
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,20019,110,16000,5,4,5,1180
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,20000,110,1600,5,4,5,1115
83,ÊTOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,17003,97,1400,5,4,5,1110
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,16238,110,1600,5,4,5,1180
85,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,15414,97,1400,5,4,5,1110
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,8537,110,1600,5,4,5,1130
87,ÊTOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,7000,97,1400,5,4,5,1100
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,66966,90,2000,3,4,5,1245
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,51884,97,1400,3,4,5,1100
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,50005,110,2000,3,4,5,1265
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,48110,97,1400,3,4,5,1100
92,ÊTOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,37500,90,2000,3,4,5,1260
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,34472,90,1995,3,4,5,1260
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,33329,97,1400,3,4,5,1100
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,31850,110,1600,3,4,5,1120
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,30351,90,1995,3,4,5,1260
97,ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,29435,97,1400,3,4,5,1100
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,25948,97,1400,3,4,5,1100
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,24500,110,1600,3,4,5,1120
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,23902,97,1400,3,4,5,1100
101,ÊTOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,23175,110,1600,3,4,5,1120
102,ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,19200,97,1400,3,4,5,1100
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,18000,71,1400,3,4,5,1125
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,16123,110,1600,3,4,5,1105
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,14635,110,1600,3,4,5,1155
106,ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,13748,97,1400,3,4,5,1100
107,ÊTOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,11500,110,1600,3,4,5,1045
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,10000,97,1400,3,4,5,1100
109,ÊTOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,7187,110,1600,3,4,5,1105
111,ÊTOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,1,116,2000,5,4,5,1480
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,4000,116,2000,5,4,5,1480
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,4,1500,116,2000,5,4,5,1480
114,ÊTOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,116,2000,5,4,5,1320
115,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,116,2000,5,4,5,1320
116,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,7,10000,116,2000,5,4,5,1270
117,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,24990,8,6000,90,2000,5,4,5,1280
118,ÊTOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,21950,8,10841,90,2000,5,4,5,1270
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,1,110,1600,3,4,5,1105
120,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,20,63000,90,2000,5,4,5,1255
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,17,57313,110,2000,5,4,5,1275
