_unit_id,policies_violated,review
679455653,"RudeServiceOrderProblemFilthy","I'm not a huge mcds lover, but I've been to better ones. This is by far the worst one I've ever been too! It's filthy inside and if you get drive through they completely screw up your order every time! The staff is terribly unfriendly and nobody seems to care. Definetly NOT recommend this one."
679455654,RudeService,"Terrible customer service. ξI came in at 9:30pm and stood in front of the register and no one bothered to say anything or help me for 5 minutes. ξThere was no one else waiting for their food inside either, just outside at the window. ξ I left and went to Chickfila next door and was greeted before I was all the way inside. This McDonalds is also dirty, the floor was covered with dropped food. Obviously filled with surly and unhappy workers."
679455655,"SlowServiceOrderProblem","First they ""lost"" my order, actually they gave it to someone one else than took 20 minutes to figure out why I was still waiting for my order.They after I was asked what I needed I replied, ""my order"".They asked for my ticket and the asst mgr looked at the ticket then incompletely filled it.I had to ask her to check to see if she filled it correctly.She acted as if she couldn't be bothered with that so I asked her again.She begrudgingly checked to she did in fact miss something on the ticket.So after 22 minutes I finally had my breakfast biscuit platter.As I left an woman approached and identified herself as the manager, she was dressed as if she had just awoken in an old t-shirt and sweat pants.She said she had heard what happened and said she'd take care of it.Well why didn't she intervene when she saw I was growing annoyed with the incompetence?"
679455656,na,I see I'm not the only one giving 1 star. Only because there is not a -25 Star!!! That's all I need to say!
679455657,RudeService,"Well, it's McDonald's, so you know what the food is. ξThis review reflects solely on the poor service. ξI have been to this location countless times over the years. ξThey consistently fail on the service end of things. ξThe order takers tend to be rude, no smiles, and a lot of ""sighs"" and ""lip smacking"" when you talk to them. ξSo why go back you ask? This store benefits from being the only place to eat in this area. ξThe next stop is at least 12 minutes away on the other side of town. ξAlso I strongly believe in 2nd chances and know that not every business can satisfy everyone 100% of the time. ξI have given them many chances at earning a positive review. ξI could not recommend this location any less. ξIf you can wait, take a pass. ξThere are better McDonald's stores in Griffin, GA."
679455658,"BadFoodSlowService",This has to be one of the worst and slowest McDonald's franchises there is. Can't figure out why my Egg McMuffin is always on a stale un-toasted English muffin. Bought A chocolate shake today and threw it away.
679455659,"SlowServiceScaryMcDs","I'm not crazy about this McDonald's. ξThis is primarily because they are so slow. ξMy gosh what exactly is the hold up? ξIt's FAST food people. ξAlso, this morning, I guess the worker thought his mic was off, but it wasn't. ξI now know that he is trying to get as many hours as possible because he needs money BAD. ξSpread the word. ξAnyway, this location is on a little access road ξand you have to go back the way you came because there is no exit from it at the other end. ξIt would have helped if there was one. ξSo, in the end I think I'll avoid this location and find another. ξThis should be easy as there is no shortage of Mickey D's in this piece."
679455660,RudeService,"One Star and I'm beng kind. I blame management. last day of free coffee so ""we"" decide to stop and order breakfast and coffees thru drive-thru. She charged us for coffee and when asked why she said she needed to confirm there were two of us in the car. Now she has to clear the order and that took retraining. Ask next time at tthe speaker.Oh it gets better....We get to next window where Einstein is waiting, pours the coffees with different creams/sugars added. ""Which one is which?"" I asked... and he smiled and said ""One has 2 cream 2 sugar and the other has 3 cream 1 sugar"".. didnt maek the cups... but at least he made sure we had straws for our coffees.... Hello? management? Where are You?"
679455661,"SlowServiceRudeServiceMissingFood","Never been upset about any fast food drive thru service till I came to this McDonalds.After a long trip from California my wife and I went to McDonalds for a quick bite to eat before our drive back home. We pull up to the drive thru but there are a lot of cars waiting to order. We were guessing there must be a lot demand for McDonalds at this late hour. So we wait about 5 - 10 minutes for our turn to order. We order the specials they were having at that time (20 pcs chicken nuggets for $5) and asked for a cup of water because we didn't want to drink any sodas at that late hour. They take our order but tells us they don't serve cups of water there. So we are a little annoyed but ok we shrug it off and wait our turn to pay and receive our order. However, we wait for almost another 10 min to finally pay at the first window - then another 5 more min to finally receive our food. By far the worst McDonalds in the world. Unfriendly and slow."
679455662,na,"This McDonald's has gotten much better. Usually my order would be wrong every single time so I would not leave that window until I checked every single item. I only hit up fast food once a month or so and it needs to be worth it. Also the fries used to be cold and the cheese on the burger was never melted. Everything was just lukewarm. Now my order has been right a few times in a row and my food hot. Also, I love dining room. Usually you wouldn't find me actually inside a fast food joint but this place has nice flooring, stacked stone, lots of large windows and a flat screen TV usually on HLN. Sometimes its nice to sneak away for a quick weekend breakfast, you know, a little budget and time friendly mommy and me date."
